bucket,path,clicks,impressions,ctr,position
"School Profiles (/schools/*)","/schools/ogle-school-beauty-and-cosmetology-north-houston-willowbrook-cypress-6f61a5a6",0,50,0.00,10.0
"School Profiles (/schools/*)","/schools/victoria-cosmetology-academy-houston-f9c8d6c8",0,50,0.00,6.3
"School Profiles (/schools/*)","/schools/bladesmith-barber-college-denton-b39daba1",1,49,2.04,9.2
"School Profiles (/schools/*)","/schools/trale-beauty-academy-lewisville-d82cc884",1,49,2.04,13.6
"School Profiles (/schools/*)","/schools/el-pipo-barber-college-el-paso-a9ef3227",0,49,0.00,9.8
"School Profiles (/schools/*)","/schools/golden-touch-academy-lancaster-e48ed53c",0,49,0.00,7.3
"School Profiles (/schools/*)","/schools/academy-of-hair-design-jasper-194e2082",1,48,2.08,10.5
"School Profiles (/schools/*)","/schools/panola-college-carthage-45f93424",1,48,2.08,7.7
"School Profiles (/schools/*)","/schools/bella-beauty-college-corpus-campus-corpus-christi-bcbb6b69",0,48,0.00,10.6
"School Profiles (/schools/*)","/schools/laredo-chi-academy-beauty-school-laredo-b4577dea",0,48,0.00,10.7
"School Profiles (/schools/*)","/schools/top-secret-beauty-spa-academy-llc-houston-e624f2c9",0,48,0.00,24.1
"School Profiles (/schools/*)","/schools/bella-cosmetology-and-barber-college-greenville-ad511996",0,47,0.00,10.3
"School Profiles (/schools/*)","/schools/houston-city-college-alief-bissonne-houston-7c95b031",0,47,0.00,9.9
"School Profiles (/schools/*)","/schools/mclennan-community-college-waco-11d20c34",2,46,4.35,7.2
"School Profiles (/schools/*)","/schools/align-beauty-school-garland-17dd049b",0,46,0.00,8.5
"School Profiles (/schools/*)","/schools/behx-beauty-academy-nacogdoches-dd808fab",0,46,0.00,8.4
"School Profiles (/schools/*)","/schools/manuel-theresa-s-school-of-hair-design-bryan-6f73e2d5",0,46,0.00,12.6
"School Profiles (/schools/*)","/schools/trendsetters-barber-and-beauty-college-san-antonio-69054628",0,46,0.00,9.7
