path,clicks,impressions,ctr,position
"/stores/hairgalleria-beauty-northside-houston-77090-4127c80e",0,126,0.00,11.5
"/salons/the-q-salon-houston-6e8524b6",1,125,0.80,9.1
"/stores/alamo-barber-beauty-supply-san-antonio-189040b9",1,125,0.80,9.1
"/shop/saphire-fadez-houston-77061-8d203aad",0,125,0.00,6.6
"/salons/cove51-salon-mckinney-ab121363",1,124,0.81,6.6
"/schools/ogle-school-beauty-and-cosmetology-san-antonio-san-antonio-a75d49ef",0,124,0.00,10.9
"/salons/arianna-hair-boutique-katy-texas-houston-ae83c96c",0,123,0.00,10.4
"/salons/cost-cutters-houston-173d5e90",0,123,0.00,10.3
"/salons/deseo-beauty-lounge-color-fort-worth-71d0b048",0,123,0.00,7.6
"/salons/elevate-hair-salon-katy-houston-e390a100",0,123,0.00,8.5
"/salons/marbella-salon-houston-2e5b136c",0,123,0.00,10.5
"/schools/l-l-beauty-institute-llc-abilene-8d832db1",0,123,0.00,7.5
"/stores/610-beauty-supply-houston-77093-ce4b3920",0,123,0.00,8.4
"/stores/salice-barber-supply-houston-77099-58286a02",5,122,4.10,6.7
"/salons/beautique-day-spa-salon-houston-d6cc5cb7",0,122,0.00,12.6
"/salons/cindy-s-hair-saloon-el-paso-27b771e4",0,122,0.00,6.3
"/salons/jq-beauty-salon-houston-f0a07275",0,122,0.00,6.1
"/stores/usa-beauty-outlet-ii-san-antonio-8f79af59",0,122,0.00,5.2
"/salons/beauty-s-palace-hair-salon-houston-69089a04",0,121,0.00,8.5
"/salons/secret-salon-316-houston-48a55886",0,121,0.00,8.8
"/stores/paul-mitchell-the-school-clear-lake-houston-77058-2f837210",0,121,0.00,13.7
"/salons/salon-express-i-houston-b1a03042",2,120,1.67,12.1
"/salons/hue-salon-houston-b2d37a70",0,120,0.00,9.0
"/schools/pathway-vocational-academy-lumberton-lumberton-db2b7878",0,120,0.00,8.5
"/salons/macal-s-hair-studio-houston-faa28836",1,119,0.84,3.3
"/salons/anahi-hair-salon-houston-4b929afb",0,119,0.00,8.8
"/salons/art-beauty-salon-houston-f9a1289d",0,119,0.00,3.7
"/salons/beauty-wendy-s-hair-salon-baber-shop-houston-9b9cfb85",0,119,0.00,9.3
"/salons/craft-salon-houston-154a0192",0,119,0.00,9.5
"/salons/linear-salon-houston-f662e91c",0,119,0.00,6.4
"/schools/caviar-academy-of-cosmetology-lubbock-d803123a",0,119,0.00,7.5
"/schools/dfw-skin-institute-dallas-5a83479d",0,119,0.00,9.2
"/stores/cosmo-prof-houston-77032-41efc834",1,118,0.85,8.1
"/barbers/david-s-barber-shop-tx-7e3722ce",0,118,0.00,9.5
"/salons/meena-s-salon-houston-a36f472d",0,118,0.00,6.7
"/barbers/space-fades-barbershop-tx-14b511cb",0,117,0.00,7.5
"/insights/booth-rent-vs-commission",0,117,0.00,12.3
"/salons/organics-salon-pflugerville-33f56053",0,117,0.00,9.2
"/salons/fashion-hair-96-houston-ce60a190",0,116,0.00,7.9
"/salons/nanu-beauty-salon-houston-625cc588",0,116,0.00,5.0
"/salons/d-vicente-beauty-salon-houston-f4f9911d",1,115,0.87,8.2
"/stores/ej-beauty-supply-9-houston-77094-4728cb5c",1,115,0.87,6.0
"/stores/twin-s-3-beauty-supply-houston-77095-6b5384f4",1,115,0.87,7.6
"/salons/angel-s-salon-y-spa-houston-8794e2f7",0,115,0.00,9.1
"/salons/lk-beauty-salon-houston-a959725c",0,115,0.00,9.1
"/salons/white-a-salon-houston-0a613f3d",0,114,0.00,9.4
"/salons/bliss-beauty-bar-the-best-head-spa-and-facial-in-houston-houston-212b2326",1,113,0.88,17.9
"/salons/beauty-choice-salon-houston-5ca8c6fd",0,113,0.00,12.4
"/salons/gilded-hair-nails-salon-houston-90e8bb63",0,113,0.00,5.7
"/salons/josephine-s-day-spa-salon-eldridge-houston-fddaddd2",0,113,0.00,9.5
"/insights/texas-esthetician-nail-technician-exam-guide",2,112,1.79,23.6
"/salons/galaxy-beauty-salon-spa-houston-41ea7ab4",1,112,0.89,8.5
"/salons/dk-hair-salon-houston-2574db65",0,112,0.00,7.7
"/salons/riya-s-salon-houston-073a0a0a",0,112,0.00,4.8
"/schools/onyx-nail-institute-llc-donna-791ebe02",0,112,0.00,3.1
"/salons/domilizz-african-braids-houston-e969a815",1,111,0.90,6.6
"/salons/sleek-beauty-studio-mckinney-26575323",1,111,0.90,6.9
"/stores/usa-beauty-garland-75d0638a",1,111,0.90,9.4
"/salons/maria-s-hair-salon-houston-08d36103",0,111,0.00,9.0
"/salons/salon-boutique-houston-30d34f23",0,111,0.00,7.8
"/salons/tranquility-salon-day-spa-houston-9bfc80ef",0,111,0.00,15.0
"/salons/de-cache-beauty-salon-houston-a96f79a7",0,110,0.00,9.8
"/salons/natalie-michelle-salon-houston-94ab8c67",0,110,0.00,8.1
"/salons/salon-eros-houston-f8856de4",0,110,0.00,10.4
"/stores/gold-beauty-super-store-dallas-110009ef",0,110,0.00,9.1
"/stores/hey-beautiful-nail-supplies-houston-77063-3ec3ad5b",0,110,0.00,7.5
"/salons/i-brow-beauty-bar-houston-16a35e35",1,109,0.92,7.6
"/stores/hip-beauty-supply-houston-77082-e35cf4b7",1,109,0.92,7.2
"/stores/uptown-beauty-supply-1-houston-77090-24cdd6a5",1,109,0.92,15.0
"/salons/beauty-beyond-studio-houston-1441734a",0,109,0.00,11.4
"/salons/blue-mambo-houston-419f67b9",0,109,0.00,7.2
"/salons/curls-by-ellen-curly-hair-specialist-katy-tx-houston-4858db5f",0,109,0.00,4.6
"/salons/lucia-s-hair-salon-houston-0908a2df",0,109,0.00,9.5
"/salons/toni-guy-hair-salon-houston-b9bba78c",0,109,0.00,15.4
"/salons/uptown-hair-salon-blow-dry-bar-vintage-park-houston-92ea7305",0,109,0.00,11.7
"/stores/fort-worth-barber-supply-houston-77003-05e2399f",0,109,0.00,9.8
"/salons/house-of-color-houston-9f9e79d1",0,108,0.00,18.6
"/schools/acres-homes-barber-college-houston-45b5fb33",0,108,0.00,7.6
"/salons/1st-hair-by-lena-call-to-book-appointments-walk-ins-are-also-welcome-garland-2a355a01",0,107,0.00,5.2
"/salons/aisha-s-salon-spa-houston-faa13590",0,107,0.00,8.5
"/salons/elsa-s-beauty-salon-houston-7f76ce2b",0,107,0.00,7.6
"/salons/golden-scissors-houston-2653a570",0,107,0.00,9.4
"/salons/new-looks-salon-houston-f072ca6a",0,107,0.00,6.8
"/salons/the-silkout-bar-houston-fa25a21d",0,107,0.00,8.2
