bucket,name,city,target_table,licenses
"seed","MAIQUELA'S COSMETOLOGY ACADEMY","UPLAND","agent_cosmetology_school_leads","cosmetology:1/4; manicuring:1/3"
"seed","MAIQUELA'S COSMETOLOGY ACADEMY","WHITTIER","agent_cosmetology_school_leads","cosmetology:2/4; manicuring:3/5"
"seed","MARINELLO SCHOOL OF BEAUTY","STOCKTON","agent_cosmetology_school_leads","cosmetology:1/1"
"seed","MARMEL BEAUTY ACADEMY","NORTH HOLLYWOOD","agent_cosmetology_school_leads","cosmetology:0/1"
"seed","MOLER COSMETOLOGY COLLEGE, A DIVISION OF","HAYWARD","agent_cosmetology_school_leads","cosmetology:3/5; esthetics:4/5"
"seed","MONARCH BEAUTY ACADEMY","VALENCIA","agent_cosmetology_school_leads","cosmetology:1/2; esthetics:2/2; manicuring:8/8"
"seed","NAPA COSMETOLOGY COLLECTIVE LLC","NAPA","agent_cosmetology_school_leads","cosmetology:3/4; esthetics:4/4; manicuring:2/2"
"seed","NATIONAL COSMETOLOGY BEAUTY SCHOOL","OAKLAND","agent_cosmetology_school_leads","cosmetology:3/8; esthetics:3/4; manicuring:22/40"
"seed","PALOMAR INSTITUTE OF COSMETOLOGY","SAN MARCOS","agent_cosmetology_school_leads","cosmetology:13/15; esthetics:14/18; manicuring:12/16"
"seed","PARIS BEAUTY COLLEGE","CONCORD","agent_cosmetology_school_leads","cosmetology:4/9; esthetics:7/7; manicuring:8/8"
"seed","PASADENA CITY COLLEGE","PASADENA","agent_cosmetology_school_leads","cosmetology:4/5"
"seed","PRINCESS INSTITUTE OF BEAUTY","REEDLEY","agent_cosmetology_school_leads","cosmetology:2/3"
"seed","PROFESSIONAL INSTITUTE OF BEAUTY","EL MONTE","agent_cosmetology_school_leads","cosmetology:6/12"
"seed","PROFESSIONAL SCHOOLS OF BEAUTY, FASHION","RESEDA","agent_cosmetology_school_leads","cosmetology:0/2; esthetics:3/5; manicuring:0/1"
"seed","REGIONAL OCCUPATIONAL CENTER","BAKERSFIELD","agent_cosmetology_school_leads","cosmetology:0/2"
"seed","RIVERSIDE COMMUNITY COLLEGE - COSMETOLOG","RIVERSIDE","agent_cosmetology_school_leads","cosmetology:16/18; esthetics:3/3"
"seed","ROSEMEAD BEAUTY SCHOOL","ROSEMEAD","agent_cosmetology_school_leads","cosmetology:6/7; esthetics:10/10; manicuring:15/17"
"seed","ROSEMEAD BEAUTY SCHOOL, INC.","ROSEMEAD","agent_cosmetology_school_leads","cosmetology:0/1"
"seed","RTC COLLEGE","JURUPA VALLEY","agent_cosmetology_school_leads","cosmetology:2/2; esthetics:1/5; manicuring:4/6"
"seed","SACRAMENTO CITY COLLEGE, COSMETOLOGY DEP","SACRAMENTO","agent_cosmetology_school_leads","cosmetology:4/6; manicuring:1/1"
"seed","SALINAS BEAUTY COLLEGE","SALINAS","agent_cosmetology_school_leads","cosmetology:1/1"
