page,clicks,impressions,ctr_pct,position
"https://agency.innergcomplete.com/shop/monty-s-barbershop-santa-clarita-bbcd5884",2,47,4.26,8.5
"https://agency.innergcomplete.com/shop/timberlodge-parlor-huntington-beach-df757f49",2,18,11.11,10.0
"https://agency.innergcomplete.com/shop/zero-caos-waco-b70d7644",2,13,15.38,4.7
"https://agency.innergcomplete.com/stores/a-f-beauty-supply-houston-77090-d839721a",2,118,1.69,6.0
"https://agency.innergcomplete.com/stores/an-s-nail-supply-houston-77089-a6311346",2,81,2.47,4.0
"https://agency.innergcomplete.com/stores/anan-beauty-supply-houston-77087-53949017",2,55,3.64,8.3
"https://agency.innergcomplete.com/stores/aysun-beauty-warehouse-barber-supplies-los-angeles-da98f40a",2,37,5.41,7.8
"https://agency.innergcomplete.com/stores/beauty-bar-wigs-hair-extensions-moreno-valley-e9c8e854",2,76,2.63,8.2
"https://agency.innergcomplete.com/stores/beauty-empire-houston-77090-f080691f",2,376,0.53,26.8
"https://agency.innergcomplete.com/stores/beauty-galaxy-houston-77093-16e8fc15",2,81,2.47,7.1
"https://agency.innergcomplete.com/stores/beauty-island-houston-77090-01040987",2,155,1.29,4.0
"https://agency.innergcomplete.com/stores/bless-beauty-bakersfield-f0ddd06b",2,201,1.00,5.0
"https://agency.innergcomplete.com/stores/cba-barber-supply-repair-houston-77093-a2d0ba5b",2,37,5.41,24.2
"https://agency.innergcomplete.com/stores/cc-beauty-supply-2-humble-c45bf1cf",2,108,1.85,5.0
"https://agency.innergcomplete.com/stores/city-nails-beauty-supplies-2-fontana-4e5eb9c2",2,90,2.22,5.8
"https://agency.innergcomplete.com/stores/coco-bella-hair-beauty-n-1-missouri-city-f99033e1",2,395,0.51,5.7
"https://agency.innergcomplete.com/stores/crown-craft-beauty-supply-houston-77070-9496c587",2,92,2.17,11.2
"https://agency.innergcomplete.com/stores/glenpro-beauty-center-glendale-028501ef",2,207,0.97,4.7
"https://agency.innergcomplete.com/stores/hair-king-beauty-supplies-lancaster-baf58347",2,253,0.79,4.7
"https://agency.innergcomplete.com/stores/hello-beauty-houston-77094-aaca3aee",2,317,0.63,3.1
"https://agency.innergcomplete.com/stores/kern-wig-and-beauty-supply-bakersfield-99ef577b",2,440,0.45,3.1
"https://agency.innergcomplete.com/stores/kim-s-beauty-supply-and-salon-san-bernardino-22239644",2,127,1.57,4.1
"https://agency.innergcomplete.com/stores/kings-beauty-supply-mart-austin-cc693444",2,99,2.02,4.5
"https://agency.innergcomplete.com/stores/luxyl-beauty-supply-stockton-066c1ad5",2,586,0.34,6.1
"https://agency.innergcomplete.com/stores/pink-beauty-supply-compton-long-beach-e7001fc6",2,376,0.53,7.6
"https://agency.innergcomplete.com/stores/qtt-beauty-supply-houston-77062-a5af6c81",2,323,0.62,5.1
"https://agency.innergcomplete.com/stores/regale-barber-supply-houston-77099-1263bfd7",2,57,3.51,4.3
"https://agency.innergcomplete.com/stores/shop-wise-beauty-supply-houston-77096-2cbd953b",2,38,5.26,24.6
